@id	@lat	@lon	name	place
29023724	61.4557460	-6.7590335	Akrar	village
29023725	62.2547392	-6.5793808	Ánirnar	village
29023727	62.2552377	-6.5363614	Árnafjørður	village
29023728	62.0863166	-7.3696034	Bøur	village
29023729	61.7843221	-6.6785038	Dalur	village
29023730	62.2866305	-6.5291895	Depil	village
29023731	61.6849993	-6.7558718	Dímun	village
29023732	62.3004264	-7.0894368	Eiði	village
29023733	62.2821358	-6.9116848	Elduvík	village
29023734	61.5248610	-6.8786368	Fámjin	village
29023735	61.5470000	-6.7710000	Froðba	village
29023736	62.2439162	-6.8155938	Fuglafjørður	town
29023737	62.2381040	-6.9316051	Funningsfjørður	village
29023738	62.2869174	-6.9679178	Funningur	village
29023739	62.1103550	-7.4379717	Gásadalur	village
29023740	62.1286148	-6.7240735	Glyvrar	village
29023741	62.3248617	-6.9482437	Gjógv	village
29023742	62.1918816	-6.7487103	Gøtugjógv	village
29023743	62.1753702	-6.7752761	Undir Gøtueiði	village
29023744	62.2716824	-6.6044918	Haraldssund	village
29023745	62.2754532	-7.0934698	Haldórsvík	village
29023746	62.2630000	-6.8440000	Hellurnar	village
29023747	62.3294992	-6.2750044	Hattarvík	village
29023748	62.1514776	-6.9467985	Hósvík	village
29023749	61.9558309	-6.8829483	Hestur	village
29023751	61.5067716	-6.7623644	Hov	village
29023752	61.8096495	-6.6794956	Húsavík	village
29023753	62.2651624	-6.6963093	Húsar	village
29023754	62.1871139	-7.0354349	Hvalvík	village
29023755	61.6003139	-6.9585472	Hvalba	village
29023756	62.1366229	-6.7595184	Innan Glyvur	village
29023757	62.0610657	-6.8287134	Kaldbak	village
29023758	62.2972700	-6.5196605	Hvannasund	village
29023759	62.0445949	-6.7726333	Hvítanes	village
29023760	61.9526502	-6.7942333	Kirkjubøur	village
29023761	62.2266084	-6.5852705	Klaksvík	town
29023762	62.0654423	-6.9126848	Kaldbaksbotnur	village
29023763	62.3182463	-6.3164580	Kirkja	village
29023764	62.2917787	-6.6687901	Kunoy	village
29023765	62.1170951	-7.0745199	Kvívík	village
29023766	62.1177429	-6.9005919	Kollafjørður	village
29023767	61.9856980	-6.9670542	Koltur	village
29023768	62.2095775	-6.7077974	Leirvík	village
29023769	62.1170151	-7.0424071	Leynar	village
29023770	62.1417232	-6.7118690	Lamba	village
29023771	62.2315748	-7.0486274	Langasandur	village
29023772	62.3350000	-6.7660000	Mikladalur	village
29023773	62.0491394	-7.1892020	Miðvágur	village
29023774	61.4435538	-6.7710111	Lopra	village
29023775	62.2674624	-7.0617676	Ljósá	village
29023777	62.0811545	-6.7294839	Nes	village
29023778	62.1035657	-7.6443399	Mykines	village
29023780	62.1910124	-6.9864143	Oyri	village
29023781	62.2769219	-6.8540178	Oyndarfjørður	village
29023782	62.1985237	-6.7401847	Norðragøta	village
29023783	62.2125991	-6.5438591	Norðoyri	village
29023785	62.1075979	-6.7210814	Runavík	village
29023786	62.1073947	-6.6841672	Rituvík	village
29023787	61.4817399	-6.7454998	Porkeri	village
29023788	61.6329640	-6.9289986	Sandvík	village
29023789	62.1590000	-6.8780000	Selatrað	village
29023790	62.1939598	-6.8540808	Skálafjørður	village
29023791	61.8297213	-6.6658461	Skálavík	village
29023792	62.1169179	-6.7188176	Saltangará	village
29023793	62.1089748	-6.7425141	Saltnes	village
29023794	62.0539859	-7.1525739	Sandavágur	village
29023795	61.8348155	-6.8175826	Sandur	village
29023796	61.7706823	-6.8066251	Skúvoy	village
29023797	62.0959840	-7.0082285	Skælingur	village
29023798	62.1076322	-6.7655783	Strendur	village
29023799	62.1914142	-7.0316394	Streymnes	village
29023800	62.1574049	-6.7816595	Skála	village
29023801	61.7936323	-6.7475006	Skarvanes	village
29023802	62.1732721	-6.7704674	Skipanes	village
29023803	61.9037828	-6.8866676	Skopun	village
29023804	62.2451801	-6.6678361	Syðradalur	village
29023805	62.2781765	-6.3421026	Svínoy	village
29023806	62.1853546	-6.7559497	Syðrugøta	village
29023807	62.0187017	-6.9123819	Syðradalur	village
29023808	61.4039284	-6.7133445	Sumba	village
29023809	62.1154894	-7.0512945	Stykkið	village
29023810	62.2297533	-7.0257339	Svínáir	village
29023811	62.0491160	-6.8460495	Sund	village
29023812	61.5640000	-6.8440000	Trongisvágur	village
29023813	62.0120000	-6.7680000	Tórshavn	town
29023814	61.5557547	-6.8145764	Tvøroyri	town
29023815	62.3612244	-6.7888073	Trøllanes	village
29023816	62.0716758	-7.3098210	Sørvágur	village
29023817	62.1600626	-6.7539129	Søldarfjørður	village
29023818	62.0916048	-6.7378886	Toftir	village
29023819	62.2889614	-7.1487437	Tjørnuvík	village
29023820	62.0693467	-6.6939053	Æðuvík	village
29023821	61.5338099	-6.8134958	Ørðavík	village
29023822	62.3600000	-6.5330000	Viðareiði	village
29023823	61.4423185	-6.7255895	Víkarbyrgi	village
29023824	61.9830528	-6.8540795	Velbastaður	village
29023825	62.1560000	-7.1660000	Vestmanna	village
29023826	61.4747101	-6.8071921	Vágur	village
29023827	62.0740000	-7.2480000	Vatnsoyrar	village
302100309	62.1393189	-6.7306040	Lambareiði	village
302100442	61.4718123	-6.7620290	Nes	village
302100658	62.1499062	-7.1515638	Válur	village
302101392	62.2947252	-6.5263434	Norðdepil	village
302101630	62.2333803	-6.7033730	Blankskáli	village
302102313	62.1552189	-7.2439552	Slættanes	village
302102771	62.0996612	-6.9512567	Oyrareingir	village
302103177	62.1093293	-6.7891679	Kolbeinagjógv	village
302103183	62.0966606	-6.9227618	Signabøur	village
302103265	62.2754871	-6.5156844	Norðtoftir	village
302103672	62.2192052	-7.0104449	Norðskáli	village
302103675	62.1297647	-6.8399130	Morskranes	village
302103914	62.2025680	-6.9971948	Oyrarbakki	village
302103963	62.3239518	-6.6484829	Skarð	village
302103991	62.2146052	-7.0172303	Nesvík	village
302104502	62.2682411	-6.5899197	Strond	village
302104829	62.0096416	-6.6744114	Nólsoy	village
485658132	62.3511245	-6.5821199	Múli	village
541335094	62.0401000	-6.9269430	Norðradalur	village
559626795	62.2465585	-7.1777219	Saksun	village
4268001599	61.9971969	-6.7774441	Argir	village
5413932401	62.0329436	-6.7766308	Hoyvík	village
7157160373	62.2205556	-6.8150991	Kambsdalur	village
7468297084	62.1365876	-7.0223766	Við Gjónna	village
8592728828	62.3219866	-6.6045631	Skálatoftir	village
